,name,weight,label,pred,mae
0,gdb_65488,66,-6.889922618865967,-6.923619270324707,0.033696651458740234
1,gdb_101712,72,-6.201474666595459,-6.236578941345215,0.03510427474975586
2,gdb_75026,66,-5.417787075042725,-5.389718055725098,0.028069019317626953
3,gdb_4956,58,-6.508963584899902,-6.501658916473389,0.007304668426513672
4,gdb_87153,70,-6.272224426269531,-6.216808795928955,0.05541563034057617
5,gdb_56373,64,-7.513063907623291,-7.5164361000061035,0.0033721923828125
6,gdb_9016,56,-7.306257247924805,-7.2315993309021,0.07465791702270508
7,gdb_52502,64,-6.440935134887695,-6.431390285491943,0.009544849395751953
8,gdb_126609,68,-6.103513717651367,-6.078579425811768,0.02493429183959961
9,gdb_106484,68,-6.625972270965576,-6.632811546325684,0.006839275360107422
10,gdb_24003,62,-6.089908123016357,-6.077725410461426,0.01218271255493164
11,gdb_23802,58,-7.646399021148682,-7.661645412445068,0.015246391296386719
12,gdb_14823,58,-7.208295822143555,-7.1922736167907715,0.016022205352783203
13,gdb_69805,66,-6.019158840179443,-6.020627498626709,0.001468658447265625
14,gdb_97724,66,-6.2395710945129395,-6.229312896728516,0.010258197784423828
15,gdb_35850,66,-7.085844993591309,-7.096733093261719,0.010888099670410156
16,gdb_2732,50,-7.32802677154541,-7.321079730987549,0.006947040557861328
17,gdb_47500,68,-6.479031085968018,-6.478607654571533,0.000423431396484375
18,gdb_95161,70,-6.400117874145508,-6.389455795288086,0.010662078857421875
19,gdb_2483,54,-6.383790969848633,-6.409520626068115,0.025729656219482422
20,gdb_107207,68,-6.059975624084473,-6.039460182189941,0.02051544189453125
21,gdb_21089,58,-6.024600505828857,-5.98864221572876,0.035958290100097656
22,gdb_66500,64,-5.121182918548584,-5.154958724975586,0.03377580642700195
23,gdb_112705,72,-6.625972270965576,-6.633160591125488,0.007188320159912109
24,gdb_106105,68,-6.454540729522705,-6.475966453552246,0.021425724029541016
25,gdb_130787,64,-7.733476161956787,-7.678434371948242,0.05504179000854492
26,gdb_96830,68,-6.223243713378906,-6.2092695236206055,0.013974189758300781
27,gdb_92118,68,-5.839563369750977,-5.829525947570801,0.010037422180175781
28,gdb_111574,68,-6.756587028503418,-6.7471923828125,0.009394645690917969
29,gdb_26777,64,-5.251797676086426,-5.218931198120117,0.032866477966308594
30,gdb_45432,68,-6.108956336975098,-6.050371170043945,0.058585166931152344
31,gdb_106703,68,-6.103513717651367,-6.124699115753174,0.02118539810180664
32,gdb_82652,68,-6.201474666595459,-6.1465935707092285,0.05488109588623047
33,gdb_3599,54,-6.650462627410889,-6.6224236488342285,0.028038978576660156
34,gdb_124421,64,-7.477688789367676,-7.494625568389893,0.016936779022216797
35,gdb_36523,68,-7.006931781768799,-7.0330071449279785,0.026075363159179688
36,gdb_16248,62,-6.726654529571533,-6.697710037231445,0.02894449234008789
37,gdb_64669,66,-7.064075946807861,-7.079580783843994,0.015504837036132812
38,gdb_83318,68,-6.696722030639648,-6.721085071563721,0.024363040924072266
39,gdb_61345,64,-7.047749042510986,-7.040559768676758,0.007189273834228516
40,gdb_79691,66,-6.454540729522705,-6.434756278991699,0.01978445053100586
41,gdb_91645,70,-6.631414413452148,-6.657203197479248,0.02578878402709961
42,gdb_8277,60,-6.215080738067627,-6.188273906707764,0.02680683135986328
43,gdb_39219,68,-6.062696933746338,-5.959597587585449,0.10309934616088867
44,gdb_51791,68,-7.26271915435791,-7.264425277709961,0.0017061233520507812
45,gdb_19284,62,-6.79468297958374,-6.814844131469727,0.020161151885986328
46,gdb_36559,62,-7.279046058654785,-7.2235026359558105,0.05554342269897461
47,gdb_58961,70,-6.468146324157715,-6.470393657684326,0.002247333526611328
48,gdb_5505,58,-5.809630870819092,-5.812280654907227,0.0026497840881347656
49,gdb_130640,64,-7.368843078613281,-7.341020584106445,0.027822494506835938
50,gdb_102945,68,-6.870874881744385,-6.853834629058838,0.017040252685546875
51,gdb_3465,52,-6.168820858001709,-6.1675920486450195,0.0012288093566894531
52,gdb_115012,68,-6.196032524108887,-6.201784133911133,0.005751609802246094
53,gdb_66600,64,-5.537517070770264,-5.514248847961426,0.02326822280883789
54,gdb_37087,66,-6.130725383758545,-6.141170501708984,0.010445117950439453
55,gdb_64092,70,-6.8001251220703125,-6.810550689697266,0.010425567626953125
56,gdb_44154,66,-7.532111644744873,-7.477941036224365,0.05417060852050781
57,gdb_58137,68,-7.53483247756958,-7.527129173278809,0.007703304290771484
58,gdb_20097,60,-6.508963584899902,-6.504803657531738,0.0041599273681640625
59,gdb_29793,68,-4.925260543823242,-4.9305524826049805,0.005291938781738281
60,gdb_97665,68,-6.269503116607666,-6.271278381347656,0.0017752647399902344
61,gdb_102326,72,-6.587876319885254,-6.6068501472473145,0.018973827362060547
62,gdb_13502,64,-6.634135723114014,-6.637936592102051,0.0038008689880371094
63,gdb_82295,70,-6.449098587036133,-6.442962169647217,0.006136417388916016
64,gdb_84952,68,-6.171542167663574,-6.361037254333496,0.18949508666992188
65,gdb_78946,66,-6.288550853729248,-6.340481281280518,0.05193042755126953
66,gdb_73591,68,-6.487194061279297,-6.5722575187683105,0.08506345748901367
67,gdb_133013,66,-6.449098587036133,-6.481530666351318,0.03243207931518555
68,gdb_59043,70,-6.095350742340088,-6.111111640930176,0.01576089859008789
69,gdb_55766,68,-6.321204662322998,-6.329789161682129,0.00858449935913086
70,gdb_44064,66,-6.503520965576172,-6.4131646156311035,0.09035634994506836
71,gdb_16554,60,-6.930739879608154,-6.9293904304504395,0.0013494491577148438
72,gdb_36538,64,-7.494016170501709,-7.4603166580200195,0.03369951248168945
73,gdb_83220,66,-6.990605354309082,-7.018698215484619,0.02809286117553711
74,gdb_66577,64,-5.605545520782471,-5.58416748046875,0.021378040313720703
